Class,1 Hr Diff,2 Hr Diff,3 Hr Diff,4 Hr Diff,5 Hr Diff,6 Hr Diff,7 Hr Diff,7 Hr MA,Compound Score,Positive Score,Neutral Score,Negative Score
1,290.9300000000003,168.99000000000524,596.9700000000012,596.9700000000012,613.3700000000026,341.95000000000437,-849.1699999999983,56728.09000000001,0.9988,0.9,0.092,0.008
-1,-69.27000000000407,-69.27000000000407,221.65999999999622,99.72000000000116,527.6999999999971,527.6999999999971,544.0999999999985,56854.66857142858,0.9999,0.911,0.085,0.004
-1,-131.36999999999534,-131.36999999999534,-200.63999999999942,-200.63999999999942,90.29000000000087,-31.64999999999418,396.33000000000175,56986.67285714287,0.9998,0.927,0.073,0.0
1,571.9199999999983,571.9199999999983,571.9199999999983,571.9199999999983,571.9199999999983,440.5500000000029,440.5500000000029,57000.659999999996,0.9996,0.933,0.053,0.014
-1,-811.1999999999971,-239.27999999999884,-239.27999999999884,-239.27999999999884,-239.27999999999884,-239.27999999999884,-370.6499999999942,56947.71000000001,0.9999,0.949,0.051,0.0
1,814.2799999999988,3.0800000000017462,575.0,575.0,575.0,575.0,575.0,57029.85285714286,0.9996,0.94,0.055,0.005
1,611.0,1425.2799999999988,614.0800000000017,1186.0,1186.0,1186.0,1186.0,57199.281428571434,0.9997,0.919,0.058,0.023
-1,-382.0900000000038,228.90999999999622,1043.189999999995,231.98999999999796,803.9099999999962,803.9099999999962,803.9099999999962,57314.125714285714,0.9999,0.924,0.076,0.0
1,61.69000000000233,-320.40000000000146,290.59999999999854,1104.8799999999974,293.6800000000003,865.5999999999985,865.5999999999985,57437.782857142854,0.9994,0.911,0.089,0.0
1,15.830000000001746,77.52000000000407,-304.5699999999997,306.4300000000003,1120.7099999999991,309.51000000000204,881.4300000000003,57563.701428571425,0.9998,0.916,0.084,0.0
-1,-20.459999999999127,-4.629999999997381,57.06000000000495,-325.02999999999884,285.97000000000116,1100.25,289.0500000000029,57604.99428571428,0.9991,0.882,0.118,0.0
-1,-1314.7400000000052,-1314.7400000000052,-1335.2000000000044,-1319.3700000000026,-1257.6800000000003,-1639.770000000004,-1028.770000000004,57615.20571428571,0.9997,0.958,0.037,0.004
1,1291.5900000000038,-23.150000000001455,-23.150000000001455,-43.61000000000058,-27.779999999998836,33.91000000000349,-348.1800000000003,57565.46571428571,0.9997,0.926,0.074,0.0
-1,-64.19000000000233,-64.19000000000233,1227.4000000000015,-87.34000000000378,-87.34000000000378,-107.80000000000291,-91.97000000000116,57557.17142857143,0.9996,0.943,0.057,0.0
1,10.540000000000873,-53.650000000001455,-53.650000000001455,1237.9400000000023,-76.80000000000291,-76.80000000000291,-97.26000000000204,57543.27714285714,0.9994,0.941,0.047,0.012
1,223.09999999999854,233.63999999999942,169.4499999999971,169.4499999999971,1461.0400000000009,146.29999999999563,146.29999999999563,57564.177142857145,0.9936,0.953,0.047,0.0
-1,-1347.8700000000026,-1124.770000000004,-1114.2300000000032,-1178.4200000000055,-1178.4200000000055,113.16999999999825,-1201.570000000007,57392.52428571427,0.9999,0.914,0.081,0.005
-1,-148.30999999999767,-1496.1800000000003,-1273.0800000000017,-1262.5400000000009,-1326.7300000000032,-1326.7300000000032,-35.13999999999942,57387.50428571428,0.9992,0.937,0.059,0.005
1,1349.8800000000047,1201.570000000007,-146.29999999999563,76.80000000000291,87.34000000000378,23.150000000001455,23.150000000001455,57390.81142857142,0.9996,0.91,0.09,0.0
-1,-1100.25,249.63000000000466,101.32000000000698,-1246.5499999999956,-1023.4499999999971,-1012.9099999999962,-1077.0999999999985,57236.939999999995,0.9989,0.886,0.114,0.0
-1,-101.32000000000698,-1201.570000000007,148.30999999999767,0.0,-1347.8700000000026,-1124.770000000004,-1114.2300000000032,57077.76428571427,0.9998,0.92,0.076,0.003
-1,-6093.929999999993,-6093.929999999993,-6093.929999999993,-6093.929999999993,-6093.929999999993,-6093.929999999993,-6093.929999999993,55689.02857142855,0.9998,0.965,0.035,0.0
1,49.299999999995634,-6044.629999999997,-6044.629999999997,-6044.629999999997,-6044.629999999997,-6044.629999999997,-6044.629999999997,54825.50999999997,0.9996,0.889,0.111,0.0
-1,-602.3099999999977,-553.010000000002,-6646.939999999995,-6646.939999999995,-6646.939999999995,-6646.939999999995,-6646.939999999995,53875.94714285713,0.9998,0.939,0.052,0.01
1,16.55999999999767,-585.75,-536.4500000000044,-6630.379999999997,-6630.379999999997,-6630.379999999997,-6630.379999999997,52928.749999999985,0.9999,0.946,0.054,0.0
-1,-104.43000000000029,-87.87000000000262,-690.1800000000003,-640.8800000000047,-6734.809999999998,-6734.809999999998,-6734.809999999998,51966.63428571428,0.9998,0.932,0.047,0.021
1,964.1900000000023,859.760000000002,876.3199999999997,274.01000000000204,323.3099999999977,-5770.619999999995,-5770.619999999995,51142.259999999995,0.9998,0.932,0.066,0.002
-1,-323.3099999999977,640.8800000000047,536.4500000000044,553.010000000002,-49.299999999995634,0.0,-6093.929999999993,50271.69857142858,0.9999,0.907,0.093,0.0
1,289.5399999999936,-33.770000000004075,930.4199999999983,825.989999999998,842.5499999999956,240.23999999999796,289.5399999999936,50313.06142857143,0.9995,0.919,0.066,0.014
-1,-289.5399999999936,0.0,-323.3099999999977,640.8800000000047,536.4500000000044,553.010000000002,-49.299999999995634,50306.01857142858,0.9996,0.959,0.032,0.01
1,125.54999999999563,125.54999999999563,125.54999999999563,125.54999999999563,-163.98999999999796,125.54999999999563,-197.76000000000204,50524.958571428564,0.9961,0.978,0.022,0.0
-1,-275.6599999999962,-150.11000000000058,-150.11000000000058,-150.11000000000058,-150.11000000000058,-439.6499999999942,-150.11000000000058,50503.514285714286,0.996,0.942,0.058,0.0
1,25.50999999999476,-250.15000000000146,-124.60000000000582,-124.60000000000582,-124.60000000000582,-124.60000000000582,-414.1399999999994,50444.35142857143,0.9996,0.938,0.057,0.005
1,173.90000000000146,199.40999999999622,-76.25,49.299999999995634,49.299999999995634,49.299999999995634,49.299999999995634,50451.39428571429,0.9995,0.892,0.097,0.01
1,325.45000000000437,499.3500000000058,524.8600000000006,249.20000000000437,374.75,374.75,374.75,50504.93,0.9993,0.975,0.025,0.0
1,737.1399999999994,1062.5900000000038,1236.4900000000052,1262.0,986.3400000000038,1111.8899999999994,1111.8899999999994,50663.77142857143,0.999,0.92,0.08,0.0
-1,-252.25,484.8899999999994,810.3400000000038,984.2400000000052,1009.75,734.0900000000038,859.6399999999994,50786.577142857146,0.9999,0.902,0.092,0.005
-1,-1202.4400000000023,-1454.6900000000023,-717.5500000000029,-392.09999999999854,-218.1999999999971,-192.69000000000233,-468.34999999999854,50719.67,0.9997,0.955,0.045,0.0
1,2292.729999999996,1090.2899999999936,838.0399999999936,1575.179999999993,1900.6299999999974,2074.529999999999,2100.0399999999936,51019.67571428572,0.9957,0.947,0.053,0.0
-1,-911.8899999999994,1380.8399999999965,178.39999999999418,-73.85000000000582,663.2899999999936,988.739999999998,1162.6399999999994,51185.76714285715,0.9993,0.967,0.033,0.0
1,118.92000000000553,-792.9699999999939,1499.760000000002,297.3199999999997,45.06999999999971,782.2099999999991,1107.6600000000035,51344.00428571429,0.9998,0.915,0.068,0.017
1,274.0199999999968,392.9400000000023,-518.9499999999971,1773.7799999999988,571.3399999999965,319.0899999999965,1056.229999999996,51494.89428571429,0.9977,0.924,0.056,0.02
-1,-130.2699999999968,143.75,262.67000000000553,-649.2199999999939,1643.510000000002,441.0699999999997,188.8199999999997,51521.868571428575,0.9981,0.935,0.065,0.0
1,130.2699999999968,0.0,274.0199999999968,392.9400000000023,-518.9499999999971,1773.7799999999988,571.3399999999965,51603.48857142858,0.9998,0.925,0.065,0.01
-1,-571.3399999999965,-441.0699999999997,-571.3399999999965,-297.3199999999997,-178.39999999999418,-1090.2899999999936,1202.4400000000023,51775.26571428572,0.9989,0.892,0.1,0.008
-1,-484.8899999999994,-1056.229999999996,-925.9599999999991,-1056.229999999996,-782.2099999999991,-663.2899999999936,-1575.179999999993,51550.240000000005,0.9999,0.924,0.076,0.0
-1,-6.600000000005821,-491.49000000000524,-1062.8300000000017,-932.560000000005,-1062.8300000000017,-788.810000000005,-669.8899999999994,51454.541428571436,0.9996,0.939,0.052,0.009
-1,-151.64999999999418,-158.25,-643.1399999999994,-1214.479999999996,-1084.2099999999991,-1214.479999999996,-940.4599999999991,51320.19000000001,0.999,0.92,0.072,0.007
1,423.5899999999965,271.9400000000023,265.3399999999965,-219.5500000000029,-790.8899999999994,-660.6200000000026,-790.8899999999994,51207.20571428572,0.9986,0.932,0.068,0.0
-1,-300.51000000000204,123.07999999999447,-28.56999999999971,-35.17000000000553,-520.060000000005,-1091.4000000000015,-961.1300000000047,51069.90142857144,0.9989,0.872,0.123,0.005
1,202.65000000000146,-97.86000000000058,325.7299999999959,174.08000000000175,167.47999999999593,-317.4100000000035,-888.75,50942.937142857154,0.9996,0.914,0.081,0.005
-1,-12312.559999999998,-12109.909999999996,-12410.419999999998,-11986.830000000002,-12138.479999999996,-12145.080000000002,-12629.970000000001,49138.65571428573,0.9988,0.908,0.092,0.0
1,4621.369999999995,-7691.190000000002,-7488.540000000001,-7789.050000000003,-7365.460000000006,-7517.110000000001,-7523.710000000006,48063.84000000002,0.9991,0.896,0.091,0.014
-1,-5002.32,-380.95000000000437,-12693.510000000002,-12490.86,-12791.370000000003,-12367.780000000006,-12519.43,46275.35000000002,0.9997,0.933,0.052,0.015
-1,-207.04000000000087,-207.04000000000087,-207.04000000000087,-5209.360000000001,-587.9900000000052,-12900.550000000003,-12697.900000000001,40867.20000000002,0.9969,0.948,0.052,0.0
1,539.3400000000038,332.3000000000029,332.3000000000029,332.3000000000029,-4670.019999999997,-48.650000000001455,-12361.21,39101.312857142875,0.9997,0.933,0.058,0.008
1,48.650000000001455,587.9900000000052,380.95000000000437,380.95000000000437,380.95000000000437,-4621.369999999995,0.0,39101.312857142875,0.9998,0.937,0.063,0.0
1,598.3699999999953,647.0199999999968,1186.3600000000006,979.3199999999997,979.3199999999997,979.3199999999997,-4023.0,38526.598571428585,0.9999,0.939,0.051,0.01
-1,-232.93999999999505,365.4300000000003,414.08000000000175,953.4200000000055,746.3800000000047,746.3800000000047,746.3800000000047,38633.22428571431,0.9999,0.935,0.055,0.01
-1,-482.9300000000003,-715.8699999999953,-117.5,-68.84999999999854,470.49000000000524,263.45000000000437,263.45000000000437,38670.86000000002,0.9984,0.911,0.089,0.0
1,637.7799999999988,154.84999999999854,-78.08999999999651,520.2799999999988,568.9300000000003,1108.270000000004,901.2300000000032,38799.60714285716,0.9925,0.99,0.01,0.0
-1,-206.47000000000116,431.3099999999977,-51.62000000000262,-284.5599999999977,313.8099999999977,362.4599999999991,901.8000000000029,38928.43571428574,0.9998,0.933,0.064,0.003
1,461.8099999999977,461.8099999999977,255.3399999999965,893.1199999999953,410.18999999999505,177.25,775.6199999999953,39091.0185714286,0.9998,0.957,0.043,0.0
-1,-16.189999999995052,-16.189999999995052,445.6200000000026,445.6200000000026,239.15000000000146,876.9300000000003,394.0,39172.62571428574,0.9995,0.953,0.047,0.0
1,4790.309999999998,4774.120000000003,4774.120000000003,5235.93,5235.93,5029.459999999999,5667.239999999998,39982.23142857145,0.9999,0.942,0.053,0.005
-1,-1155.0699999999997,3635.239999999998,3619.050000000003,3619.050000000003,4080.8600000000006,4080.8600000000006,3874.3899999999994,40535.71571428574,1.0,0.956,0.043,0.002
-1,-4325.040000000001,-5480.110000000001,-689.8000000000029,-705.989999999998,-705.989999999998,-244.1800000000003,-244.1800000000003,40500.83285714289,0.9998,0.955,0.039,0.007
1,4940.5999999999985,615.5599999999977,-539.510000000002,4250.799999999996,4234.610000000001,4234.610000000001,4696.419999999998,41171.75000000002,0.9987,0.913,0.079,0.008
-1,-615.5599999999977,4325.040000000001,0.0,-1155.0699999999997,3635.239999999998,3619.050000000003,3619.050000000003,41688.75714285717,0.9994,0.954,0.046,0.0
1,3344.6299999999974,3344.6299999999974,3344.6299999999974,2729.0699999999997,7669.669999999998,3344.6299999999974,2189.5599999999977,43037.87857142859,0.9992,0.94,0.053,0.007
-1,-1656.3999999999942,1688.2300000000032,1688.2300000000032,1688.2300000000032,1072.6700000000055,6013.270000000004,1688.2300000000032,43279.0542857143,0.9986,0.897,0.097,0.006
-1,-115.2300000000032,-1771.6299999999974,1573.0,1573.0,1573.0,957.4400000000023,5898.040000000001,44121.63142857144,0.9995,0.943,0.052,0.005
-1,-1586.8099999999977,-1702.0400000000009,-3358.439999999995,-13.809999999997672,-13.809999999997672,-13.809999999997672,-629.3699999999953,44031.72142857144,0.9998,0.919,0.055,0.026
1,98.30999999999767,-1488.5,-1603.7300000000032,-3260.1299999999974,84.5,84.5,84.5,44043.79285714287,0.9992,0.889,0.098,0.013
1,108.9800000000032,108.9800000000032,108.9800000000032,207.29000000000087,-1379.5199999999968,-1494.75,-3151.149999999994,43617.77142857144,0.9989,0.926,0.058,0.016
1,521.0899999999965,630.0699999999997,630.0699999999997,630.0699999999997,728.3799999999974,-858.4300000000003,-973.6600000000035,43478.67714285716,0.998,0.979,0.021,0.0
-1,-1093.8199999999997,-572.7300000000032,-463.75,-463.75,-463.75,-365.4400000000023,-1952.25,43199.784285714304,0.9997,0.956,0.035,0.009
-1,-2754.8700000000026,-3848.6900000000023,-3327.600000000006,-3218.6200000000026,-3218.6200000000026,-3218.6200000000026,-3120.310000000005,42754.02571428573,0.9999,0.924,0.069,0.007
1,37.74000000000524,-2717.1299999999974,-3810.949999999997,-3289.8600000000006,-3180.8799999999974,-3180.8799999999974,-3180.8799999999974,42299.6142857143,0.9996,0.932,0.068,0.0
-1,-560.7200000000012,-522.9799999999959,-3277.8499999999985,-4371.669999999998,-3850.5800000000017,-3741.5999999999985,-3741.5999999999985,41765.10000000002,0.9998,0.933,0.058,0.009
1,242.4300000000003,-318.2900000000009,-280.54999999999563,-3035.4199999999983,-4129.239999999998,-3608.1500000000015,-3499.1699999999983,41265.218571428595,0.9999,0.924,0.076,0.0
1,40.37999999999738,40.37999999999738,282.8099999999977,-277.9100000000035,-240.16999999999825,-2995.040000000001,-4088.8600000000006,40165.64571428574,0.9999,0.893,0.103,0.004
-1,-76.94000000000233,-36.56000000000495,-36.56000000000495,205.86999999999534,-354.8500000000058,-317.1100000000006,-3071.980000000003,39726.79142857146,0.9998,0.963,0.037,0.0
1,76.94000000000233,0.0,40.37999999999738,40.37999999999738,282.8099999999977,-277.9100000000035,-240.16999999999825,39692.48142857146,0.9998,0.942,0.056,0.002
1,277.9100000000035,354.8500000000058,277.9100000000035,318.2900000000009,318.2900000000009,560.7200000000012,0.0,39692.48142857146,0.9998,0.951,0.049,0.0
1,140.29999999999563,418.2099999999991,495.15000000000146,418.2099999999991,458.5899999999965,458.5899999999965,701.0199999999968,39792.62714285717,0.9997,0.942,0.036,0.022
-1,-232.87999999999738,-232.87999999999738,-92.58000000000175,185.33000000000175,262.2700000000041,185.33000000000175,225.70999999999913,39890.3842857143,0.9998,0.942,0.05,0.008
1,137.16999999999825,-95.70999999999913,-95.70999999999913,44.58999999999651,322.5,399.4400000000023,322.5,39936.45571428573,0.9999,0.95,0.045,0.005
-1,-605.3099999999977,-468.1399999999994,-701.0199999999968,-701.0199999999968,-560.7200000000012,-282.8099999999977,-205.86999999999534,39907.045714285734,0.9997,0.951,0.043,0.005
1,363.23999999999796,363.23999999999796,-242.0699999999997,-104.90000000000146,-337.77999999999884,-337.77999999999884,-197.4800000000032,39838.43285714288,0.9999,0.936,0.058,0.005
-1,-363.23999999999796,0.0,0.0,-605.3099999999977,-468.1399999999994,-701.0199999999968,-701.0199999999968,39738.28714285717,0.9997,0.942,0.049,0.008
1,609.8399999999965,609.8399999999965,609.8399999999965,609.8399999999965,609.8399999999965,246.59999999999854,609.8399999999965,39571.91142857146,0.9999,0.957,0.043,0.0
-1,-246.59999999999854,363.23999999999796,363.23999999999796,363.23999999999796,363.23999999999796,363.23999999999796,0.0,39571.91142857146,0.9995,0.944,0.056,0.0
1,242.0699999999997,-4.529999999998836,605.3099999999977,605.3099999999977,605.3099999999977,605.3099999999977,605.3099999999977,39658.38428571432,0.9999,0.949,0.049,0.002
-1,-242.0699999999997,0.0,-246.59999999999854,363.23999999999796,363.23999999999796,363.23999999999796,363.23999999999796,39710.275714285744,0.9987,0.862,0.138,0.0
1,162.09000000000378,-79.97999999999593,162.09000000000378,-84.50999999999476,525.3300000000017,525.3300000000017,525.3300000000017,39785.322857142884,0.9998,0.941,0.056,0.003
1,79.97999999999593,79.97999999999593,79.97999999999593,79.97999999999593,242.0699999999997,0.0,242.0699999999997,39957.92571428573,0.9988,0.856,0.139,0.005
-1,-271.34999999999854,-271.34999999999854,-191.37000000000262,-191.37000000000262,-191.37000000000262,-191.37000000000262,-29.279999999998836,39953.74285714287,0.9988,0.961,0.033,0.006
-1,-86.12999999999738,-357.4799999999959,-357.4799999999959,-277.5,-277.5,-277.5,-277.5,39914.10000000001,0.9999,0.939,0.059,0.002
1,724.9099999999962,638.7799999999988,367.4300000000003,367.4300000000003,447.4099999999962,447.4099999999962,447.4099999999962,39978.01571428573,0.9997,0.91,0.09,0.0
-1,-434.08000000000175,-434.08000000000175,290.82999999999447,204.6999999999971,-66.65000000000146,-66.65000000000146,13.32999999999447,40043.835714285735,0.9995,0.923,0.077,0.0
-1,-3.25,-437.33000000000175,-437.33000000000175,287.57999999999447,201.4499999999971,-69.90000000000146,-69.90000000000146,40033.85000000002,0.9998,0.953,0.044,0.004
-1,-201.4499999999971,-204.6999999999971,-638.7799999999988,-638.7799999999988,86.12999999999738,0.0,-271.34999999999854,39995.08571428573,0.9994,0.926,0.074,0.0
1,271.34999999999854,271.34999999999854,69.90000000000146,66.65000000000146,-367.4300000000003,-367.4300000000003,357.4799999999959,40046.15428571431,0.9938,0.981,0.019,0.0
-1,-271.34999999999854,0.0,0.0,-201.4499999999971,-204.6999999999971,-638.7799999999988,-638.7799999999988,39954.900000000016,0.9987,0.923,0.069,0.008
-1,-235.4100000000035,-506.76000000000204,-235.4100000000035,-235.4100000000035,-436.8600000000006,-440.1100000000006,-874.1900000000023,39830.01571428573,0.9998,0.951,0.041,0.009
1,356.56000000000495,356.56000000000495,356.56000000000495,121.15000000000146,-150.1999999999971,121.15000000000146,121.15000000000146,39722.04142857145,0.9992,0.923,0.07,0.007
-1,-166.6600000000035,-166.6600000000035,-166.6600000000035,189.90000000000146,189.90000000000146,189.90000000000146,-45.51000000000204,39711.39000000002,0.9999,0.924,0.068,0.009
1,491.66999999999825,325.00999999999476,325.00999999999476,325.00999999999476,681.5699999999997,681.5699999999997,681.5699999999997,39808.75714285717,0.9998,0.945,0.055,0.0
-1,-174.80999999999767,316.8600000000006,150.1999999999971,150.1999999999971,150.1999999999971,506.76000000000204,506.76000000000204,39881.15142857145,0.9928,0.95,0.05,0.0
-1,-316.8600000000006,-316.8600000000006,-316.8600000000006,-491.66999999999825,0.0,-166.6600000000035,-166.6600000000035,39951.19428571431,0.9999,0.899,0.096,0.004
1,491.66999999999825,174.80999999999767,174.80999999999767,174.80999999999767,0.0,491.66999999999825,325.00999999999476,39997.62428571431,0.9996,0.941,0.049,0.01
